PlayerName,AV
Jerry Mazzanti\MazzJe20,2
Mat McBriar\McBrMa20,2
Billy McMullen\McMuBi00,2
Ryan Moats\MoatRy00,2
Frank Molden\MoldFr20,2
David Molk\MolkDa00,2
Gerald Nichols\NichGe20,2
Ken O'Brien\OBriKe00,2
Mike Osborn\OsboMi20,2
Richard Osborne\OsboRi00,2
Bill Overmyer\OverBi20,2
Don Owens\OwenDo20,2
Jarrad Page\PageJa20,2
Josh Parry\ParrJo00,2
Doug Pederson\PedeDo00,2
Joshua Perkins\PerkJo02,2
Gerry Philbin\PhilGe00,2
LaJuan Ramsey\RamsLa20,2
Richard Rodgers\RodgRi00,2
Eric Rowe\RoweEr00,2
Theron Sapp\SappTh00,2
Ricky Shaw\ShawRi20,2
Jason Short\ShorJa20,2
Dick Stafford\StafDi20,2
Thomas Tapeh\TapeTh00,2
Carl Taseff\TaseCa20,2
Golden Tate\TateGo00,2
Don Thompson\ThomDo23,2
Scott Tinsley\TinsSc20,2
John Tracey\TracJo00,2
Destiny Vaeao\VaeaDe01,2
Joe Walker\WalkJo01,2
K'Von Wallace\WallKV00,2
Matt Ware\WareMa20,2
Erwin Will\WillEr20,2
Jerry Wilson\WilsJe21,2
Mike Young\YounMi00,2
Seyi Ajirotutu\AjirSe00,1
D.J. Alexander\AlexD.00,1
Josh Andrews\AndrJo01,1
Grayland Arnold\ArnoGr01,1
David Bailey\BailDa20,1
Eric Bailey\BailEr20,1
Bryan Barker\BarkBr20,1
Matt Barkley\BarkMa00,1
Larry Barnes\BarnLa00,1
Doug Bartlett\BartDo20,1
Matt Battaglia\BattMa20,1
De'Vante Bausby\BausDe00,1
Pat Beach\BeacPa00,1
Eric Bieniemy\BienEr00,1
Jason Bostic\BostJa20,1
Kevin Bowman\BowmKe21,1
Carlos Bradley\BradCa20,1
Shaun Bradley\BradSh00,1
Aaron Brown\BrowAa21,1
Reggie Brown\BrowRe20,1
Ronnie Brown\BrowRo05,1
Eldra Buckley\BuckEl00,1
Frank Budd\BuddFr00,1
